timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 03:36:10.719, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:36:11.724, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:12.726, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:13.727, NVIDIA Thor, 4 %, [N/A], [N/A], 44
2026/02/05 03:36:14.730, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:15.731, NVIDIA Thor, 1 %, [N/A], [N/A], 44
2026/02/05 03:36:16.733, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:17.735, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:18.740, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:19.743, NVIDIA Thor, 0 %, [N/A], [N/A], 43
2026/02/05 03:36:20.744, NVIDIA Thor, 4 %, [N/A], [N/A], 44
2026/02/05 03:36:21.746, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:22.747, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:36:23.750, NVIDIA Thor, 1 %, [N/A], [N/A], 44
2026/02/05 03:36:24.751, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:25.753, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:26.757, NVIDIA Thor, 7 %, [N/A], [N/A], 45
2026/02/05 03:36:27.759, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:28.762, NVIDIA Thor, 8 %, [N/A], [N/A], 45
2026/02/05 03:36:29.763, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:30.766, NVIDIA Thor, 9 %, [N/A], [N/A], 45
2026/02/05 03:36:31.768, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:32.771, NVIDIA Thor, 13 %, [N/A], [N/A], 45
2026/02/05 03:36:33.773, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:34.776, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:35.781, NVIDIA Thor, 5 %, [N/A], [N/A], 45
2026/02/05 03:36:36.784, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:37.785, NVIDIA Thor, 95 %, [N/A], [N/A], 45
2026/02/05 03:36:38.789, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:39.793, NVIDIA Thor, 84 %, [N/A], [N/A], 46
2026/02/05 03:36:40.795, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:41.797, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:36:42.799, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:43.801, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:44.803, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:36:45.805, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:46.807, NVIDIA Thor, 3 %, [N/A], [N/A], 45
2026/02/05 03:36:47.809, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:36:48.812, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:49.814, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:36:50.818, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:36:51.820, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:52.821, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:53.826, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:36:54.831, NVIDIA Thor, 61 %, [N/A], [N/A], 45
2026/02/05 03:36:55.838, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 03:36:56.840, NVIDIA Thor, 3 %, [N/A], [N/A], 45
2026/02/05 03:36:57.841, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:36:58.843, NVIDIA Thor, 8 %, [N/A], [N/A], 45
2026/02/05 03:36:59.845, NVIDIA Thor, 3 %, [N/A], [N/A], 45
2026/02/05 03:37:00.847, NVIDIA Thor, 4 %, [N/A], [N/A], 45
2026/02/05 03:37:01.849, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:37:02.851, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:03.853, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:04.854, NVIDIA Thor, 1 %, [N/A], [N/A], 44
2026/02/05 03:37:05.856, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:06.858, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:07.862, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:08.865, NVIDIA Thor, 4 %, [N/A], [N/A], 45
2026/02/05 03:37:09.866, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:10.869, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:37:11.873, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:12.878, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:13.880, NVIDIA Thor, 4 %, [N/A], [N/A], 45
2026/02/05 03:37:14.882, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:37:15.883, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:16.886, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:17.888, NVIDIA Thor, 5 %, [N/A], [N/A], 45
2026/02/05 03:37:18.889, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:37:19.895, NVIDIA Thor, 14 %, [N/A], [N/A], 45
2026/02/05 03:37:20.904, NVIDIA Thor, 15 %, [N/A], [N/A], 44
2026/02/05 03:37:21.906, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:22.913, NVIDIA Thor, 37 %, [N/A], [N/A], 46
2026/02/05 03:37:23.915, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:24.917, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:25.918, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:37:26.919, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:27.923, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:28.925, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:29.927, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:37:30.929, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 03:37:31.933, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:32.936, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 03:37:33.942, NVIDIA Thor, 96 %, [N/A], [N/A], 46
2026/02/05 03:37:34.948, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:37:35.950, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:36.955, NVIDIA Thor, 8 %, [N/A], [N/A], 46
2026/02/05 03:37:37.957, NVIDIA Thor, 35 %, [N/A], [N/A], 46
2026/02/05 03:37:38.965, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:39.970, NVIDIA Thor, 3 %, [N/A], [N/A], 45
2026/02/05 03:37:40.973, NVIDIA Thor, 96 %, [N/A], [N/A], 46
2026/02/05 03:37:41.977, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:42.982, NVIDIA Thor, 12 %, [N/A], [N/A], 46
2026/02/05 03:37:43.983, NVIDIA Thor, 3 %, [N/A], [N/A], 46
2026/02/05 03:37:44.985, NVIDIA Thor, 38 %, [N/A], [N/A], 46
2026/02/05 03:37:45.994, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:46.997, NVIDIA Thor, 9 %, [N/A], [N/A], 46
2026/02/05 03:37:47.998, NVIDIA Thor, 1 %, [N/A], [N/A], 46
2026/02/05 03:37:48.999, NVIDIA Thor, 2 %, [N/A], [N/A], 46
2026/02/05 03:37:50.001, NVIDIA Thor, 25 %, [N/A], [N/A], 45
2026/02/05 03:37:51.003, NVIDIA Thor, 1 %, [N/A], [N/A], 46
2026/02/05 03:37:52.004, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:53.009, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:54.011, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:37:55.014, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:56.018, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:57.026, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:37:58.029, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:37:59.030, NVIDIA Thor, 77 %, [N/A], [N/A], 46
2026/02/05 03:38:00.033, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:38:01.034, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 03:38:02.039, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:38:03.042, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:38:04.046, NVIDIA Thor, 0 %, [N/A], [N/A], 46
2026/02/05 03:38:05.047, NVIDIA Thor, 0 %, [N/A], [N/A], 45
2026/02/05 03:38:06.049, NVIDIA Thor, 4 %, [N/A], [N/A], 45
2026/02/05 03:38:07.051, NVIDIA Thor, 1 %, [N/A], [N/A], 46
